iter	Passed	Remaining
218	18667	40999
219	18748	40904
220	18841	40836
221	18953	40809
222	19053	40756
223	19141	40675
224	19223	40582
225	19300	40479
226	19382	40388
227	19475	40317
228	19558	40228
229	19642	40139
230	19716	40030
231	19799	39940
232	19885	39856
233	19958	39745
234	20036	39646
235	20114	39546
236	20193	39450
237	20274	39356
238	20353	39259
239	20432	39161
240	20508	39058
241	20586	38961
242	20657	38849
243	20748	38775
244	20834	38692
245	20947	38658
246	21063	38630
247	21132	38516
248	21204	38405
249	21284	38312
250	21373	38233
251	21456	38145
252	21529	38039
253	21614	37952
254	21703	37875
255	21720	37672
256	21814	37602
257	21906	37529
258	21987	37437
259	22063	37338
260	22145	37248
261	22238	37178
262	22403	37224
263	22494	37149
264	22564	37039
265	22643	36944
266	22730	36862
267	22814	36775
268	22894	36681
269	22974	36589
270	23054	36495
271	23121	36383
272	23197	36283
273	23296	36220
274	23397	36159
275	23476	36064
276	23566	35987
277	23648	35898
278	23729	35807
279	23880	35820
280	23967	35738
281	24076	35688
282	24153	35590
283	24230	35492
284	24248	35309
285	24328	35216
286	24436	35164
287	24533	35096
288	24616	35008
289	24707	34931
290	24800	34856
291	24890	34778
292	24982	34703
293	25069	34619
294	25146	34523
295	25257	34473
296	25337	34380
297	25419	34290
298	25498	34197
299	25577	34103
300	25653	34006
301	25764	33954
302	25848	33867
303	25933	33781
304	26008	33683
305	26094	33599
306	26189	33526
307	26288	33457
308	26394	33398
309	26464	33294
310	26544	33202
311	26616	33099
312	26689	32998
313	26764	32901
314	26850	32816
315	26937	32734
316	27016	32641
317	27097	32550
318	27182	32465
319	27284	32400
320	27389	32338
321	27473	32251
322	27552	32158
323	27647	32084
324	27814	32093
325	27895	32003
326	27986	31923
327	28074	31840
328	28191	31790
329	28271	31698
330	28359	31614
331	28457	31543
332	28550	31465
333	28631	31375
334	28707	31278
335	28783	31182
336	28918	31150
337	28991	31050
338	29060	30946
339	29143	30857
340	29214	30756
341	29287	30658
342	29381	30580
343	29481	30509
344	29569	30426
345	29641	30326
346	29743	30257
347	29853	30196
348	29939	30111
349	30028	30028
350	30123	29951
351	30209	29865
352	30290	29775
353	30365	29679
354	30435	29578
355	30513	29484
356	30611	29410
357	30792	29416
358	30847	29300
359	30951	29231
360	31077	29183
361	31167	29101
362	31249	29011
363	31326	28917
364	31423	28840
365	31511	28756
366	31607	28679
367	31688	28588
368	31775	28503
369	31870	28424
370	31970	28351
371	32079	28285
372	32182	28214
373	32269	28127
374	32342	28030
375	32417	27933
376	32495	27841
377	32567	27742
378	32644	27648
379	32718	27552
380	32836	27493
381	32913	27399
382	33004	27317
383	33096	27235
384	33176	27144
385	33255	27052
386	33343	26967
387	33435	26886
388	33511	26791
389	33585	26696
390	33676	26613
391	33785	26545
392	33883	26469
393	33959	26374
394	34069	26307
395	34175	26235
396	34270	26155
397	34360	26072
398	34453	25990
399	34544	25908
400	34627	25819
401	34706	25727
402	34784	25635
403	34911	25578
404	35024	25511
405	35140	25446
406	35243	25372
407	35343	25294
408	35434	25211
409	35515	25120
410	35604	25035
411	35711	24963
412	35802	24879
413	35890	24793
414	35979	24708
415	36090	24638
416	36210	24574
417	36321	24504
418	36423	24427
419	36510	24340
420	36589	24248
421	36706	24181
422	36819	24110
423	36913	24028
424	36984	23931
425	37057	23835
426	37152	23753
427	37241	23667
428	37320	23575
429	37401	23484
430	37478	23391
431	37551	23295
432	37716	23257
433	37808	23172
434	37885	23079
435	37995	23006
436	38085	22921
437	38159	22825
438	38240	22735
439	38328	22648
440	38413	22560
441	38508	22478
442	38609	22398
443	38701	22314
444	38800	22234
445	38949	22182
446	39065	22110
447	39160	22027
448	39252	21942
449	39334	21852
450	39408	21757
451	39488	21666
452	39559	21569
453	39669	21494
454	39771	21415
455	39879	21339
456	39990	21264
457	40092	21184
458	40170	21091
459	40248	20999
460	40342	20914
461	40439	20832
462	40547	20755
463	40640	20670
464	40734	20586
465	40819	20497
466	40894	20403
467	40964	20307
468	41051	20219
469	41134	20129
470	41220	20041
471	41315	19957
472	41418	19877
473	41492	19783
474	41565	19688
475	41663	19606
476	41772	19528
477	41853	19438
478	41958	19358
479	42051	19273
480	42139	19186
481	42212	19091
482	42299	19003
483	42403	18923
484	42500	18840
485	42594	18755
486	42682	18668
487	42752	18572
488	42830	18480
489	42918	18393
490	43007	18306
491	43098	18220
492	43191	18135
493	43293	18053
494	43375	17963
495	43450	17870
496	43526	17778
497	43616	17691
498	43699	17602
499	43779	17511
500	43860	17421
501	43931	17327
502	44023	17241
503	44100	17150
504	44177	17058
505	44254	16967
506	44358	16886
507	44440	16796
508	44506	16700
509	44585	16610
510	44661	16518
511	44749	16431
512	44832	16342
513	44922	16256
514	45007	16167
515	45114	16087
516	45188	15995
517	45273	15906
518	45356	15817
519	45430	15726
520	45508	15635
521	45591	15546
522	45684	15461
523	45763	15370
524	45844	15281
525	45915	15188
526	45987	15096
527	46058	15003
528	46130	14911
529	46201	14819
530	46335	14746
531	46478	14677
532	46571	14591
533	46661	14505
534	46745	14416
535	46818	14325
536	46909	14238
537	47010	14155
538	47135	14079
539	47227	13993
540	47363	13920
541	47465	13836
542	47558	13750
543	47652	13665
544	47742	13578
545	47836	13492
546	47920	13403
547	47993	13312
548	48075	13223
549	48146	13130
550	48221	13039
551	48299	12949
552	48380	12860
553	48457	12770
554	48527	12678
555	48648	12599
556	48788	12525
557	49019	12474
558	49149	12397
559	49240	12310
560	49340	12225
561	49428	12137
562	49516	12049
563	49649	11972
564	49744	11885
565	49831	11797
566	49913	11708
567	49994	11618
568	50067	11527
569	50147	11437
570	50218	11345
571	50328	11262
572	50428	11176
573	50509	11087
574	50588	10997
575	50683	10911
576	50793	10827
577	50904	10744
578	51022	10662
579	51104	10573
580	51179	10482
581	51260	10392
582	51373	10309
583	51454	10220
584	51557	10135
585	51643	10046
586	51727	9957
587	51812	9869
588	51902	9781
589	52005	9695
590	52101	9609
591	52183	9520
592	52266	9430
593	52344	9340
594	52430	9252
595	52555	9170
596	52660	9085
597	52763	8999
598	52871	8914
599	52955	8825
600	53038	8736
601	53115	8646
602	53198	8557
603	53291	8470
604	53443	8391
605	53542	8305
606	53628	8216
607	53714	8127
608	53809	8040
609	53892	7951
610	53981	7863
611	54067	7774
612	54192	7691
613	54313	7607
614	54415	7520
615	54529	7435
616	54651	7351
617	54774	7267
618	54862	7179
619	54957	7091
620	55038	7001
621	55121	6912
622	55210	6823
623	55300	6735
624	55393	6647
625	55515	6562
626	55626	6476
627	55745	6391
628	55872	6306
629	55973	6219
630	56075	6131
631	56164	6043
632	56247	5953
633	56328	5863
634	56409	5774
635	56498	5685
636	56575	5595
637	56654	5505
638	56735	5416
639	56817	5326
640	56923	5239
641	57035	5152
642	57127	5064
643	57206	4974
644	57280	4884
645	57363	4795
646	57447	4705
647	57544	4617
648	57628	4528
649	57705	4438
650	57789	4349
651	57871	4260
652	57952	4171
653	58048	4082
654	58129	3993
655	58210	3904
656	58302	3815
657	58444	3730
658	58531	3641
659	58606	3551
660	58686	3462
661	58773	3373
662	58850	3284
663	58940	3195
664	59017	3106
665	59109	3017
666	59198	2928
667	59281	2839
668	59363	2750
669	59443	2661
670	59537	2573
671	59623	2484
672	59707	2395
673	59790	2306
674	59871	2217
675	59969	2129
676	60067	2040
677	60149	1951
678	60240	1863
679	60325	1774
680	60414	1685
681	60511	1597
682	60608	1508
683	60710	1420
684	60792	1331
685	60870	1242
686	60969	1153
687	61059	1064
688	61137	976
689	61212	887
690	61299	798
691	61388	709
692	61481	621
693	61563	532
694	61664	443
695	61740	354
696	61820	266
697	61898	177
698	61975	88
699	62120	0
