iter	RMSE
0	1539.235058
1	1509.838803
2	1481.378829
3	1454.442329
4	1429.108908
5	1403.563437
6	1379.223726
7	1356.120857
8	1333.774639
9	1312.145354
10	1291.768792
11	1271.483223
12	1252.026876
13	1233.175579
14	1215.043529
15	1197.691816
16	1180.843992
17	1165.082754
18	1150.05953
19	1135.092322
20	1120.501478
21	1106.673932
22	1093.171152
23	1080.512738
24	1068.10091
25	1055.950773
26	1043.519901
27	1032.625192
28	1022.234917
29	1012.202453
30	1002.711691
31	993.2802108
32	983.8224215
33	974.1318816
34	964.6270719
35	956.1914286
36	948.4651321
37	940.704439
38	933.3958075
39	926.4522364
40	919.3827164
41	912.0307466
42	906.0879128
43	899.8138872
44	893.6063045
45	888.1931743
46	882.6568456
47	877.312448
48	871.9284479
49	867.0654991
50	862.2717786
51	857.3770872
52	852.8697949
53	848.1511433
54	843.6156408
55	839.5420669
56	835.5571739
57	831.8604545
58	828.1766975
59	824.5683887
60	821.6227799
61	818.5417682
62	814.9476901
63	811.6915974
64	808.640865
65	805.4544648
66	802.6834277
67	800.0378799
68	797.2605945
69	794.281322
70	791.2198116
71	788.3899781
72	785.7657539
73	783.0567242
74	781.0160592
75	778.907549
76	776.7645709
77	774.188575
78	772.0710145
79	770.1854107
80	768.0950313
81	765.8318567
82	763.6106005
83	761.651202
84	759.756292
85	758.173377
86	756.2085646
87	754.1666262
88	752.6258935
89	751.3897967
90	749.1667777
91	747.5236434
92	745.6383473
93	744.095801
94	742.1759642
95	741.1022074
96	739.0849395
97	737.368634
98	736.124683
99	734.3790173
100	732.7565716
101	731.4609208
102	729.9161038
103	728.4082775
104	726.8969438
105	725.2232572
106	723.6895623
107	722.5686367
108	721.0800202
109	720.0506013
110	718.6524304
111	717.531727
112	716.3086125
113	715.2148637
114	714.0500558
115	712.681451
116	711.7135228
117	710.8475525
118	709.4464022
119	707.8210725
120	706.7210149
121	705.9040382
122	704.1293454
123	702.9627711
124	701.7022436
125	701.0093223
126	699.7986882
127	698.8078522
128	698.005225
129	696.7414703
130	695.8431072
131	695.0426819
132	694.1146676
133	693.3257157
134	692.5980241
135	691.282858
136	690.743556
137	689.8651217
138	689.1937874
139	688.0964271
140	687.1601837
141	686.0632993
142	685.3402449
143	684.3529427
144	683.8270856
145	682.9823736
146	682.1775676
147	681.7584936
148	681.1882055
149	680.7981038
150	680.4887106
151	679.57468
152	678.7666011
153	678.1206178
154	677.2175926
155	676.4915363
156	676.0950897
157	675.5218237
158	674.8591555
159	673.9480281
160	673.0417373
161	672.3777723
162	671.8852411
163	671.3509164
164	671.0529287
165	670.6802326
166	669.9920739
167	669.4683928
168	669.4571964
169	668.7544849
170	668.2979972
171	667.8326463
172	667.134657
173	666.7230377
174	666.2437654
175	666.016655
176	665.2960146
177	664.610331
178	664.4121628
179	663.9213503
180	663.2639828
181	662.4384191
182	661.9869321
183	661.5406745
184	660.7049661
185	659.85685
186	659.5146899
187	658.9498197
188	658.4341388
189	658.197332
190	657.1057106
191	656.2957414
192	655.9017728
193	655.380935
194	654.9945598
195	654.3739211
196	653.8370524
197	652.9720437
198	652.5286809
199	652.5246164
200	651.9881742
201	651.5343059
202	651.5334548
203	651.1155863
204	650.7196966
205	650.5727782
206	650.1423654
207	649.459898
208	648.7695555
209	648.5715353
210	647.9583085
211	647.4664606
212	647.1420431
213	646.5958421
214	645.6549814
215	645.5214551
216	645.2516775
217	644.5423202
218	644.3876856
219	644.0263095
220	643.3709505
221	642.8488054
222	642.1048306
223	641.5258527
224	640.7335547
225	640.1246166
226	639.947119
227	639.1982264
228	638.4620356
229	637.7159387
230	637.4836456
231	637.3499144
232	636.8437632
233	636.1204832
234	635.6576021
235	634.7834373
236	633.8132255
237	633.0678271
238	632.1901617
239	631.8790131
240	631.3608983
241	631.0419588
242	630.9335196
243	630.322446
244	629.7568531
245	629.0410025
246	628.4976365
247	628.3014749
248	627.5973912
249	627.2179216
250	626.5103564
251	625.8395345
252	625.558376
253	625.4799941
254	624.8111047
255	624.8106739
256	624.2549396
257	623.8012307
258	623.255374
259	622.5709048
260	622.041511
261	621.9432803
262	621.470166
263	620.8226935
264	620.2482193
265	619.4683746
266	619.3362793
267	618.9482333
268	618.4643042
269	617.9135475
270	617.599635
271	617.4408777
272	617.0593313
273	616.9296613
274	616.6074912
275	616.4332683
276	615.9268375
277	615.3494743
278	614.8087061
279	614.1023328
280	613.7458549
281	612.9671925
282	612.294822
283	611.9996143
284	611.9967873
285	611.5947411
286	611.0628959
287	610.65104
288	610.3273218
289	609.8600847
290	609.3013373
291	608.953911
292	608.2495176
293	608.0063976
294	607.4869405
295	606.7462105
296	606.5446531
297	606.1843945
298	605.7647058
299	605.1631931
300	604.8150523
301	604.676621
302	604.1270925
303	603.7360441
304	602.9908284
305	602.3933322
306	601.7537812
307	601.2020414
308	600.6039816
309	600.5171612
310	600.1237345
311	599.8433922
312	599.6126059
313	599.2815454
314	598.9769789
315	598.439749
316	598.0535891
317	597.5157523
318	597.1386804
319	596.6070348
320	596.1683909
321	595.9320657
322	595.7466114
323	595.495472
324	595.3112536
325	595.1288263
326	594.5310287
327	594.2031955
328	593.7791385
329	593.5931131
330	593.1486204
331	592.9983037
332	592.7996999
333	592.4557712
334	592.1292592
335	591.5770175
336	591.1537096
337	590.5774906
338	590.2866352
339	589.8096041
340	589.2011458
341	589.0385521
342	588.5724777
343	587.9476421
344	587.5358632
345	587.292033
346	586.8319563
347	586.5042608
348	586.1432021
349	585.8759551
350	585.5434443
351	585.1499541
352	584.6142625
353	584.2400853
354	584.0168182
355	583.7647482
356	583.4172816
357	583.0845559
358	583.0690133
359	582.5209363
360	582.3846148
361	582.1882008
362	581.5296993
363	581.2538478
364	580.8497575
365	580.7193592
366	580.4251305
367	580.2549242
368	579.9613299
369	579.7305489
370	579.2737727
371	579.2285997
372	578.7666033
373	578.325674
374	578.0873695
375	577.6639721
376	577.2971857
377	577.0729508
378	576.7977932
379	576.5134414
380	576.2271824
381	575.7403506
382	575.1968622
383	574.8395926
384	574.6870318
385	574.1784234
386	573.7604769
387	573.2767897
388	572.8465052
389	572.6322455
390	572.1007449
391	571.7172936
392	571.116877
393	570.8943633
394	570.4373779
395	570.1803391
396	569.9038857
397	569.5731525
398	569.2477795
399	568.747873
400	568.3867926
401	568.1829135
402	568.0238152
403	567.7313473
404	567.3065008
405	567.1430323
406	566.9396705
407	566.8377865
408	566.4310155
409	566.1953259
410	565.8920067
411	565.4069057
412	565.1140601
413	564.7733088
414	564.4197974
415	563.8999902
416	563.673343
417	563.3756948
418	562.9600795
419	562.4976422
420	562.0993885
421	561.6202322
422	561.4419176
423	561.1941564
424	561.0660592
425	560.9163886
426	560.7366558
427	560.5793706
428	560.118362
429	559.6697471
430	559.4465336
431	559.1615289
432	558.9958225
433	558.6317817
434	558.0398938
435	557.7104221
436	557.4990473
437	557.2672638
438	557.0174905
439	556.8476732
440	556.6561301
441	556.4906722
442	556.1774916
443	555.9064525
444	555.5951476
445	555.4276689
446	555.2671188
447	555.0846385
448	554.8234775
449	554.3272294
450	554.2006691
451	554.0388353
452	553.8401995
453	553.7133122
454	553.1494979
455	552.8468771
456	552.7028787
457	552.412244
458	552.2724439
459	551.9448503
460	551.7356889
461	551.3664538
462	550.8919296
463	550.5056515
464	550.2099511
465	549.9721045
466	549.6810746
467	549.3865276
468	549.1019105
469	548.7499316
470	548.5052949
471	548.3081622
472	548.1175379
473	547.8298413
474	547.5126879
475	546.9577548
476	546.3054573
477	546.0287899
478	545.9405633
479	545.6562123
480	545.2728773
481	545.0151486
482	544.6495771
483	543.919824
484	543.7642289
485	543.2713116
486	542.9732618
487	542.8210089
488	542.6559185
489	542.3881787
490	542.2367241
491	541.9676521
492	541.7566957
493	541.3859698
494	540.9671822
495	540.7669531
496	540.6525421
497	540.4201607
498	539.9349623
499	539.6769578
500	539.4191027
501	539.3189599
502	538.8015463
503	538.3436383
504	538.0195442
505	537.7893409
506	537.6326019
507	537.3788279
508	537.2266407
509	536.9367348
510	536.4664825
511	536.2190353
512	536.0693666
513	535.5872939
514	535.3213384
515	534.8436539
516	534.7000116
517	534.4977506
518	534.4040737
519	534.2879895
520	533.9935069
521	533.6948836
522	533.2919895
523	533.0074417
524	532.7257635
525	532.4297898
526	532.2945605
527	532.0000386
528	531.7849953
529	531.6479894
530	531.4370274
531	530.9419498
532	530.6673818
533	530.578117
534	530.157968
535	529.9277563
536	529.7126683
537	529.4188074
538	529.330908
539	529.0747475
540	528.8015826
541	528.5224623
542	528.3169515
543	528.1892154
544	527.9370056
545	527.7179543
546	527.4895983
547	527.2934477
548	526.8172244
549	526.6936974
550	526.4586244
551	526.2529343
552	526.0339757
553	525.7555801
554	525.5429604
555	525.2265797
556	524.9948221
557	524.5506039
558	524.3449966
559	523.7169256
560	523.3092053
561	523.0512359
562	522.6087606
563	522.3542053
564	521.9556123
565	521.6758895
566	521.4079897
567	521.1847826
568	521.0677426
569	520.9678564
570	520.8543694
571	520.6485988
572	520.4098345
573	520.0572483
574	519.8648302
575	519.586702
576	519.4173226
577	519.3176265
578	519.1005797
579	518.8740644
580	518.6057705
581	518.2417256
582	517.8199453
583	517.7441636
584	517.4878966
585	517.1502396
586	516.6041658
587	516.4487465
588	516.37044
589	516.2145013
590	515.97366
591	515.8759543
592	515.6804698
593	515.2604225
594	514.9681834
595	514.6441239
596	514.3431772
597	513.9231347
598	513.634246
599	513.3557923
600	513.166998
601	512.7943845
602	512.5658854
603	512.1205775
604	511.783874
605	511.5315357
606	511.2857903
607	511.0464316
608	510.7620499
609	510.5928065
610	510.2347481
611	509.685923
612	509.4014876
613	509.2603076
614	509.0816597
615	508.532909
616	508.1080322
617	508.0289327
618	507.798666
619	507.462521
620	507.3885121
621	507.0336582
622	506.6913956
623	506.4469556
624	506.069257
625	505.8750302
626	505.3597204
627	504.9351401
628	504.6893518
629	504.275276
630	504.0610802
631	503.8126683
632	503.636685
633	503.5390683
634	503.1523492
635	502.8196742
636	502.5456446
637	502.2809806
638	502.0663743
639	501.9488847
640	501.7145831
641	501.4780652
642	501.1279839
643	500.9655887
644	500.7042488
