iter	RMSE
645	500.4890502
646	500.0841821
647	499.8867569
648	499.7389175
649	499.3362578
650	499.1546771
651	498.8008594
652	498.6238525
653	498.3502971
654	498.1416557
655	497.9578417
656	497.8393544
657	497.4900114
658	497.2401865
659	496.8823348
660	496.7368424
661	496.4796397
662	495.9966797
663	495.763931
664	495.5277855
665	495.3148847
666	495.0480432
667	494.805389
668	494.599245
669	494.3993122
670	494.2659927
671	494.0674407
672	493.6883544
673	493.494754
674	493.2563521
675	492.9637413
676	492.7690298
677	492.6492625
678	492.4015172
679	492.2548175
680	491.8166437
681	491.566912
682	491.2676531
683	491.0714887
684	490.7385005
685	490.6101569
686	490.4262642
687	490.2082377
688	490.1133857
689	489.8344171
690	489.6948133
691	489.5576607
692	489.4293671
693	489.2422619
694	488.9611869
695	488.818051
696	488.58796
697	488.421045
698	488.2398492
699	488.1010381
